Union/Municipalities,Upzila,District,Division,Country,AREA_SQKM
Boragari,Domar,Nilphamari,Rangpur,Bangladesh,30.03196067
Boranal Eliasabad,Kalia,Narail,Khulna,Bangladesh,23.39297472
Borar Char,Mymensingh Sadar,Mymensingh,Mymensingh,Bangladesh,33.50934653
Borasi,Gopalganj Sadar,Gopalganj,Dhaka,Bangladesh,7.072004447
Bothlagari,Saidpur,Nilphamari,Rangpur,Bangladesh,27.22827189
Bougla Bazar,Dowarabazar,Sunamganj,Sylhet,Bangladesh,17.04805321
Boyra,Harirampur,Manikganj,Dhaka,Bangladesh,16.15308712
Boyra,Singair,Manikganj,Dhaka,Bangladesh,13.79149859
Brahma Rajpur,Satkhira Sadar,Satkhira,Khulna,Bangladesh,23.45297424
Brahmagachha,Royganj,Sirajganj,Rajshahi,Bangladesh,29.43954549
Brahman Bazar,Kulaura,Maulvibazar,Sylhet,Bangladesh,43.55344128
Brahman Para,Brahman Para,Comilla,Chittagong,Bangladesh,14.58656396
Brahmanbaria Paurashava,Brahmanbaria Sadar,Brahamanbaria,Chittagong,Bangladesh,17.52988507
Brahmandi,Araihazar,Narayanganj,Dhaka,Bangladesh,17.04118
Brahmapur,Natore Sadar,Natore,Rajshahi,Bangladesh,22.53584406
Bri-lahiribari,Faridpur,Pabna,Rajshahi,Bangladesh,25.21964587
Budbari Bazar,Golabganj,Sylhet,Sylhet,Bangladesh,11.72198114
Budhal,Brahmanbaria Sadar,Brahamanbaria,Chittagong,Bangladesh,8.62038303
Budhanti,Bijoynagar,Brahamanbaria,Chittagong,Bangladesh,23.4615639
Budhhata,Assasuni,Satkhira,Khulna,Bangladesh,33.58704601
Bukabunia,Bamna,Barguna,Barisal,Bangladesh,23.87019717
Bulakipur,Ghoraghat,Dinajpur,Rangpur,Bangladesh,34.42238796
Bulla,Lakhai,Habiganj,Sylhet,Bangladesh,50.27854425
Bulla,Madhabpur,Habiganj,Sylhet,Bangladesh,25.09287061
Bulta,Rupganj,Narayanganj,Dhaka,Bangladesh,9.859040753
Bunagati,Shalikha,Magura,Khulna,Bangladesh,21.8945483
Bura Mazumdar,Betagi,Barguna,Barisal,Bangladesh,24.70175513
Buraburi,Ulipur,Kurigram,Rangpur,Bangladesh,38.98547832
Buraburi,Tentulia,Panchagarh,Rangpur,Bangladesh,31.89613032
Buraich,Alfadanga,Faridpur,Dhaka,Bangladesh,26.46849072
Burail,Nandigram,Bogra,Rajshahi,Bangladesh,58.1823286
Buri Goalini,Shyamnagar,Satkhira,Khulna,Bangladesh,42.2678039
Burichang,Burichang,Comilla,Chittagong,Bangladesh,15.54411073
Buriganj,Shibganj,Bogra,Rajshahi,Bangladesh,20.95543506
Burighat,Naniarchar,Rangamati,Chittagong,Bangladesh,95.88977227
Burimari,Patgram,Lalmonirhat,Rangpur,Bangladesh,24.14480778
Buripota,Meherpur Sadar,Meherpur,Khulna,Bangladesh,41.85006384
Burir Char,Barguna Sadar,Barguna,Barisal,Bangladesh,34.63271838
Burir Char,Hathazari,Chittagong,Chittagong,Bangladesh,4.163346922
Burir Char,Hatiya,Noakhali,Chittagong,Bangladesh,74.21442911
Burirdanga,Mongla,Bagerhat,Khulna,Bangladesh,28.63926846
Burishwar,Nasirnagar,Brahamanbaria,Chittagong,Bangladesh,32.81148637
Burumchhara,Anowara,Chittagong,Chittagong,Bangladesh,14.92780284
Burunga,Balaganj,Sylhet,Sylhet,Bangladesh,17.37003104
Chaitrakul,Pirganj,Rangpur,Rangpur,Bangladesh,29.98610921
Chak Barkat,Joypurhat Sadar,Joypurhat,Rajshahi,Bangladesh,16.9253507
Chak Kirti,Shibganj,Nawabganj,Rajshahi,Bangladesh,34.93453324
Chak Mirpur,Daulatpur,Manikganj,Dhaka,Bangladesh,21.45283453
Chak Radha,Shibpur,Narsingdi,Dhaka,Bangladesh,19.87538166
Chakamaiya,Kala Para,Patuakhali,Barisal,Bangladesh,35.76852189
Chakaria Paurashava,Chakaria,Cox's Bazar,Chittagong,Bangladesh,4.274031833
Chakhar,Banari Para,Barisal,Barisal,Bangladesh,16.01104783
Chakirpashar,Rajarhat,Kurigram,Rangpur,Bangladesh,23.27432987
Chakla,Bera,Pabna,Rajshahi,Bangladesh,17.71831124
Chaklarhat,Panchagarh Sadar,Panchagarh,Rangpur,Bangladesh,41.13580509
Chakmarkul,Ramu,Cox's Bazar,Chittagong,Bangladesh,7.482586344
Chakua,Khaliajuri,Netrakona,Mymensingh,Bangladesh,77.51133677
Chala,Harirampur,Manikganj,Dhaka,Bangladesh,21.05933792
Chalak Char,Manohardi,Narsingdi,Dhaka,Bangladesh,13.90355476
Chalbala,Kaliganj,Lalmonirhat,Rangpur,Bangladesh,27.38165159
Chalibhanga,Meghna,Comilla,Chittagong,Bangladesh,17.00321025
Chalishia,Abhaynagar,Jessore,Khulna,Bangladesh,25.69077032
Chalitabunia,Galachipa,Patuakhali,Barisal,Bangladesh,30.71673676
Chalitadanga,Kazipur,Sirajganj,Rajshahi,Bangladesh,27.92319893
Challisha,Netrokona Sadar,Netrakona,Mymensingh,Bangladesh,25.7753368
Chalna Paurashava,Dacope,Khulna,Khulna,Bangladesh,2.673283158
Chaluabari,Sariakandi,Bogra,Rajshahi,Bangladesh,62.22438417
Chaluahati,Manirampur,Jessore,Khulna,Bangladesh,27.38750284
Chamardani,Dharampasha,Sunamganj,Sylhet,Bangladesh,68.95327363
Chamari,Singra,Natore,Rajshahi,Bangladesh,31.3436314
Chambal,Banshkhali,Chittagong,Chittagong,Bangladesh,36.43104363
Champaknagar,Bijoynagar,Brahamanbaria,Chittagong,Bangladesh,12.94806447
Champaphul,Kaliganj,Satkhira,Khulna,Bangladesh,29.77575019
Champapur,Adamdighi,Bogra,Rajshahi,Bangladesh,31.65172535
Chamrul,Dhupchanchia,Bogra,Rajshahi,Bangladesh,32.96340882
Chamta,Naria,Shariatpur,Dhaka,Bangladesh,11.33429416
Chanchari,Kalia,Narail,Khulna,Bangladesh,22.36441427
Chanchra,Tazumuddin,Bhola,Barisal,Bangladesh,19.537696
Chanchra,Kotwali,Jessore,Khulna,Bangladesh,28.70491945
Chandaikona,Royganj,Sirajganj,Rajshahi,Bangladesh,32.72279603
Chandan Baisha,Sariakandi,Bogra,Rajshahi,Bangladesh,13.02549965
Chandan Nagar,Niamatpur,Naogaon,Rajshahi,Bangladesh,51.77595789
Chandanaish Paurashava,Chandanaish,Chittagong,Chittagong,Bangladesh,12.15119823
Chandanbari,Manohardi,Narsingdi,Dhaka,Bangladesh,10.64185546
Chandanbari,Boda,Panchagarh,Rangpur,Bangladesh,25.86302529
Chandani,Rajbari Sadar,Rajbari,Dhaka,Bangladesh,21.46620515
Chandanpat,Rangpur Sadar,Rangpur,Rangpur,Bangladesh,28.81376624
Chandanpur,Meghna,Comilla,Chittagong,Bangladesh,14.37742029
Chandanpur,Kalaroa,Satkhira,Khulna,Bangladesh,26.7091783
Chandas,Mahadebpur,Naogaon,Rajshahi,Bangladesh,31.35122236
Chandba,Atgharia,Pabna,Rajshahi,Bangladesh,30.4403711
Chander Char,Homna,Comilla,Chittagong,Bangladesh,17.09407307
Chanderkandi,Roypura,Narsingdi,Dhaka,Bangladesh,10.78695305
Chandgaon,Madan,Netrakona,Mymensingh,Bangladesh,9.307965647
Chandgram,Bheramara,Kushtia,Khulna,Bangladesh,9.476602298
Chandhar,Singair,Manikganj,Dhaka,Bangladesh,30.62775031
Chandi,Baraigram,Natore,Rajshahi,Bangladesh,32.22463342
Chandi Pasha,Pakundia,Kishoreganj,Dhaka,Bangladesh,14.03588221
Chandibarpur,Narail Sadar,Narail,Khulna,Bangladesh,24.20955422
Chandigarh,Durgapur,Netrakona,Mymensingh,Bangladesh,49.95546143
Chandighat,Maulvi Bazar Sadar,Maulvibazar,Sylhet,Bangladesh,28.69146796
Chandina Paurashava,Chandina,Comilla,Chittagong,Bangladesh,9.666935015
Chandipasha,Nandail,Mymensingh,Mymensingh,Bangladesh,27.42173312
Chandipur,Ramganj,Lakshmipur,Chittagong,Bangladesh,18.52501852
Chandipur,Naogaon Sadar,Naogaon,Rajshahi,Bangladesh,13.30283267
Chandipur,Parbatipur,Dinajpur,Rangpur,Bangladesh,39.12589808
Chandipur,Sundarganj,Gaibandha,Rangpur,Bangladesh,21.712953
Chandkhali,Paikgachha,Khulna,Khulna,Bangladesh,45.54069179
Chandkhana,Kishoreganj,Nilphamari,Rangpur,Bangladesh,22.88019665
Chandla,Brahman Para,Comilla,Chittagong,Bangladesh,14.35762574
Chandnandi,Hatiya,Noakhali,Chittagong,Bangladesh,103.2321994
Chandpai Range,Mongla,Bagerhat,Khulna,Bangladesh,1087.116672
Chandpasha,Babuganj,Barisal,Barisal,Bangladesh,25.64936081
Chandpi,Mongla,Bagerhat,Khulna,Bangladesh,20.58846975
Chandpur,Barisal Sadar (Kotwali),Barisal,Barisal,Bangladesh,22.58003708
Chandpur,Mehendiganj,Barisal,Barisal,Bangladesh,16.57029072
Chandpur,Tazumuddin,Bhola,Barisal,Bangladesh,32.29192625
Chandpur,Boalmari,Faridpur,Dhaka,Bangladesh,16.62034647
Chandpur,Kapasia,Gazipur,Dhaka,Bangladesh,35.64022451
Chandpur,Katiadi,Kishoreganj,Dhaka,Bangladesh,25.62068924
Chandpur,Roypura,Narsingdi,Dhaka,Bangladesh,26.38366361
Chandpur,Harinakunda,Jhenaidah,Khulna,Bangladesh,35.11094055
Chandpur,Kumarkhali,Kushtia,Khulna,Bangladesh,27.72265635
Chandpur Paurashava,Chandpur Sadar,Chandpur,Chittagong,Bangladesh,5.077983158
Chandra,Chandpur Sadar,Chandpur,Chittagong,Bangladesh,13.10444822
Chandra,Bhanga,Faridpur,Dhaka,Bangladesh,15.89473966
Chandra Dighalia,Gopalganj Sadar,Gopalganj,Dhaka,Bangladesh,11.09790039
Chandra Mohan,Barisal Sadar (Kotwali),Barisal,Barisal,Bangladesh,20.01044021
Chandraganj,Lakshmipur Sadar,Lakshmipur,Chittagong,Bangladesh,17.66004981
Chandraghona,Kaptai,Rangamati,Chittagong,Bangladesh,11.83103103
Chandraghona Kadamtali,Rangunia,Chittagong,Chittagong,Bangladesh,11.11759957
Chandrakona,Nakla,Sherpur,Mymensingh,Bangladesh,21.01606025
Chandrapur,Shariatpur Sadar,Shariatpur,Dhaka,Bangladesh,16.94293
Chandrapur,Kaliganj,Lalmonirhat,Rangpur,Bangladesh,31.29388173
Chandshi,Gaurnadi,Barisal,Barisal,Bangladesh,7.213734978
Chandura,Bijoynagar,Brahamanbaria,Chittagong,Bangladesh,18.17165428
Chanduria,Tanore,Rajshahi,Rajshahi,Bangladesh,16.84545791
Changdhupail,Lalpur,Natore,Rajshahi,Bangladesh,35.82048125
Chanhara,Patiya,Chittagong,Chittagong,Bangladesh,10.38907156
Chaora Bargachha,Nilphamari Sadar,Nilphamari,Rangpur,Bangladesh,31.55604786
Chapai Nababganj Paurashava,Nawabganj Sadar,Nawabganj,Rajshahi,Bangladesh,30.00766768
Chapair,Kaliakair,Gazipur,Dhaka,Bangladesh,34.54496961
Chapartala,Nasirnagar,Brahamanbaria,Chittagong,Bangladesh,11.6876787
Chapila,Gurudaspur,Natore,Rajshahi,Bangladesh,35.61303502
Chapitala,Muradnagar,Comilla,Chittagong,Bangladesh,11.74383854
Chapra,Kumarkhali,Kushtia,Khulna,Bangladesh,21.31928099
Chapra Saramjani,Nilphamari Sadar,Nilphamari,Rangpur,Bangladesh,23.31127451
Chaprashirhat,Kabirhat,Noakhali,Chittagong,Bangladesh,25.30642769
Char Abdullah,Ramgati,Lakshmipur,Chittagong,Bangladesh,28.08699318
Char Alexandar,Ramgati,Lakshmipur,Chittagong,Bangladesh,34.45598675
Char Algi,Ramgati,Lakshmipur,Chittagong,Bangladesh,19.37886998
Char Algi,Gaffargaon,Mymensingh,Mymensingh,Bangladesh,32.07281098
Char Amaddi,Bakerganj,Barisal,Barisal,Bangladesh,24.1422818
Char Amanullah,Subarnachar,Noakhali,Chittagong,Bangladesh,28.29172995
Char Anupnagar,Nawabganj Sadar,Nawabganj,Rajshahi,Bangladesh,14.40492421
Char Aomkhaoa,Dewanganj,Jamalpur,Mymensingh,Bangladesh,35.53534832
Char Aralia,Roypura,Narsingdi,Dhaka,Bangladesh,11.30213251
Char Ashariadaha,Godagari,Rajshahi,Rajshahi,Bangladesh,59.08390643
Char Ashtadhar,Nakla,Sherpur,Mymensingh,Bangladesh,23.23289977
Char Atra,Naria,Shariatpur,Dhaka,Bangladesh,21.89413993
Char Bagdanga,Nawabganj Sadar,Nawabganj,Rajshahi,Bangladesh,37.04691155
Char Baniari,Chitalmari,Bagerhat,Khulna,Bangladesh,23.39794581
Char Banipakuri,Melandaha,Jamalpur,Mymensingh,Bangladesh,23.91772145
Char Baria,Barisal Sadar (Kotwali),Barisal,Barisal,Bangladesh,19.47506844
Char Bata,Subarnachar,Noakhali,Chittagong,Bangladesh,37.53879119
Char Bedam,Ramgati,Lakshmipur,Chittagong,Bangladesh,35.31571347
Char Bhadrasan,Char Bhadrasan,Faridpur,Dhaka,Bangladesh,33.42927972
Char Bhaga,Bhedarganj,Shariatpur,Dhaka,Bangladesh,19.17828036
Char Bhairabi,Haim Char,Chandpur,Chittagong,Bangladesh,11.13554916
Char Bhurungamari,Bhurungamari,Kurigram,Rangpur,Bangladesh,19.4652697
Char Bhuta,Lalmohan,Bhola,Barisal,Bangladesh,28.22344989
Char Bishnupur,Sadarpur,Faridpur,Dhaka,Bangladesh,33.87197656
Char Biswas,Galachipa,Patuakhali,Barisal,Bangladesh,50.72843487
Char Census,Bhedarganj,Shariatpur,Dhaka,Bangladesh,18.26138772
Char Chandia,Sonagazi,Feni,Chittagong,Bangladesh,11.24745404
Char Chartala,Ashuganj,Brahamanbaria,Chittagong,Bangladesh,10.59568375
Char Clerk,Subarnachar,Noakhali,Chittagong,Bangladesh,179.8996479
Char Darbesh,Sonagazi,Feni,Chittagong,Bangladesh,36.39301538
Char Daulat Khan,Kalkini,Madaripur,Dhaka,Bangladesh,10.91987196
Char Dighaldi,Narsingdi Sadar,Narsingdi,Dhaka,Bangladesh,20.23848444
Char Duanti,Patharghata,Barguna,Barisal,Bangladesh,36.2277503
Char Ekkaria,Mehendiganj,Barisal,Barisal,Bangladesh,34.4756542
Char Elahi,Companiganj,Noakhali,Chittagong,Bangladesh,115.8508321
Char Fakira,Companiganj,Noakhali,Chittagong,Bangladesh,41.58178851
Char Falcon,Kamalnagar,Lakshmipur,Chittagong,Bangladesh,11.34167177
Char Faradi,Pakundia,Kishoreganj,Dhaka,Bangladesh,16.0324005
Char Gazi,Ramgati,Lakshmipur,Chittagong,Bangladesh,6.190584707
Char Girish,Kazipur,Sirajganj,Rajshahi,Bangladesh,40.19721182
Char Goalini,Islampur,Jamalpur,Mymensingh,Bangladesh,14.58652437
Char Gopalpur,Mehendiganj,Barisal,Barisal,Bangladesh,15.25172791
Char Harirampur,Char Bhadrasan,Faridpur,Dhaka,Bangladesh,64.3169314
Char Hazari,Companiganj,Noakhali,Chittagong,Bangladesh,14.89466544
Char Ishwar,Hatiya,Noakhali,Chittagong,Bangladesh,68.29601937
Char Ishwardia,Mymensingh Sadar,Mymensingh,Mymensingh,Bangladesh,31.41722531
Char Islmapur,Bijoynagar,Brahamanbaria,Chittagong,Bangladesh,22.11765302
Char Jabbar,Subarnachar,Noakhali,Chittagong,Bangladesh,51.03124099
Char Janajat,Shib Char,Madaripur,Dhaka,Bangladesh,37.1606072
Char Jasordi,Nagarkanda,Faridpur,Dhaka,Bangladesh,31.32148386
Char Jhaukanda,Char Bhadrasan,Faridpur,Dhaka,Bangladesh,21.05260344
Char Jubille,Subarnachar,Noakhali,Chittagong,Bangladesh,60.17323535
Char Kadira,Kamalnagar,Lakshmipur,Chittagong,Bangladesh,44.82516903
Char Kajal,Galachipa,Patuakhali,Barisal,Bangladesh,88.62299843
Char Kakra,Companiganj,Noakhali,Chittagong,Bangladesh,24.14065059
Char Kalekhan,Muladi,Barisal,Barisal,Bangladesh,20.52324371
Char Kalkini,Kamalnagar,Lakshmipur,Chittagong,Bangladesh,15.53768861
Char Kalmi,Char Fasson,Bhola,Barisal,Bangladesh,45.99759435
Char Kewar,Munshiganj Sadar,Munshiganj,Dhaka,Bangladesh,24.50873596
Char Khalifa,Daulatkhan,Bhola,Barisal,Bangladesh,17.88203561
Char King,Hatiya,Noakhali,Chittagong,Bangladesh,31.07492815
Char Kowa,Barisal Sadar (Kotwali),Barisal,Barisal,Bangladesh,31.64098173
Char Kukri Mukri,Char Fasson,Bhola,Barisal,Bangladesh,56.41194509
Char Kumaria,Bhedarganj,Shariatpur,Dhaka,Bangladesh,17.73887178
Char Lakshya,Patiya,Chittagong,Chittagong,Bangladesh,10.35707989
Char Lawrence,Kamalnagar,Lakshmipur,Chittagong,Bangladesh,43.67557238
Char Madhabdia,Faridpur Sadar,Faridpur,Dhaka,Bangladesh,26.29515736
Char Madhua,Roypura,Narsingdi,Dhaka,Bangladesh,11.30302201
Char Madras,Char Fasson,Bhola,Barisal,Bangladesh,34.60129957
Char Majlishpur,Sonagazi,Feni,Chittagong,Bangladesh,15.61583707
Char Manair,Sadarpur,Faridpur,Dhaka,Bangladesh,16.54851308
Char Mandalia,Manohardi,Narsingdi,Dhaka,Bangladesh,17.65062292
Char Manika,Char Fasson,Bhola,Barisal,Bangladesh,115.1476751
Char Martin,Kamalnagar,Lakshmipur,Chittagong,Bangladesh,18.58590493
Char Matua,Noakhali Sadar (Sudharam),Noakhali,Chittagong,Bangladesh,16.33377818
Char Mohana,Roypur,Lakshmipur,Chittagong,Bangladesh,23.30306603
Char Monai,Barisal Sadar (Kotwali),Barisal,Barisal,Bangladesh,36.00463123
Char Montaz,Galachipa,Patuakhali,Barisal,Bangladesh,127.0647434
Char Mucharia,Sherpur Sadar,Sherpur,Mymensingh,Bangladesh,26.00635795
Char Nasirpur,Sadarpur,Faridpur,Dhaka,Bangladesh,29.37875652
Char Nilakshmia,Mymensingh Sadar,Mymensingh,Mymensingh,Bangladesh,32.70882122
Char Pakerdaha,Madarganj,Jamalpur,Mymensingh,Bangladesh,32.68930584
Char Pakshimari,Sherpur Sadar,Sherpur,Mymensingh,Bangladesh,32.77991054
Char Parbati,Companiganj,Noakhali,Chittagong,Bangladesh,15.01153053
Char Pata,Daulatkhan,Bhola,Barisal,Bangladesh,21.63987129
Char Pata,Roypur,Lakshmipur,Chittagong,Bangladesh,8.411910919
Char Patharghata,Patiya,Chittagong,Chittagong,Bangladesh,4.571071782
Char Poragacha,Ramgati,Lakshmipur,Chittagong,Bangladesh,21.92855789
Char Putimari,Islampur,Jamalpur,Mymensingh,Bangladesh,27.9439321
Char Rajibpur,Char Rajibpur,Kurigram,Rangpur,Bangladesh,35.142267
Char Ramani Mohan,Lakshmipur Sadar,Lakshmipur,Chittagong,Bangladesh,63.88134066
Char Ramiz,Ramgati,Lakshmipur,Chittagong,Bangladesh,25.65314867
Char Ruhita,Lakshmipur Sadar,Lakshmipur,Chittagong,Bangladesh,27.71235955
Char Samaia,Bhola Sadar,Bhola,Barisal,Bangladesh,15.18513419
Char Sherpur,Sherpur Sadar,Sherpur,Mymensingh,Bangladesh,28.86501374
Char Shibpur,Bhola Sadar,Bhola,Barisal,Bangladesh,10.89073802
Char Sindur,Palash,Narsingdi,Dhaka,Bangladesh,20.24343434
Char Subuddi,Roypura,Narsingdi,Dhaka,Bangladesh,8.378143303
Char Tarapur,Pabna Sadar,Pabna,Rajshahi,Bangladesh,30.76589667
Char Ujilaba,Belabo,Narsingdi,Dhaka,Bangladesh,5.999724999
Char Wapda,Subarnachar,Noakhali,Chittagong,Bangladesh,97.941514
Charadi,Bakerganj,Barisal,Barisal,Bangladesh,23.09181899
Charaikhola,Nilphamari Sadar,Nilphamari,Rangpur,Bangladesh,23.40925624
Charamba,Lohagara,Chittagong,Chittagong,Bangladesh,32.34107844
Charandwip,Boalkhali,Chittagong,Chittagong,Bangladesh,4.64840962
Charati,Satkania,Chittagong,Chittagong,Bangladesh,22.26304245
Charghat,Charghat,Rajshahi,Rajshahi,Bangladesh,23.50632024
Charghat Paurashava,Charghat,Rajshahi,Rajshahi,Bangladesh,21.65623183
Charigram,Singair,Manikganj,Dhaka,Bangladesh,11.37613
Charikata,Jaintiapur,Sylhet,Sylhet,Bangladesh,50.80317167
Charkatari,Daulatpur,Manikganj,Dhaka,Bangladesh,22.927742
Charkhai,Beani Bazar,Sylhet,Sylhet,Bangladesh,36.7234815
Charmohalla Union,Chhatak,Sunamganj,Sylhet,Bangladesh,29.78086612
Charnar Char,Derai,Sunamganj,Sylhet,Bangladesh,44.6662637
Charol,Baliadangi,Thakurgaon,Rangpur,Bangladesh,32.928697
Charsai,Lakshmipur Sadar,Lakshmipur,Chittagong,Bangladesh,18.02960965
Chashirhat,Sonaimuri,Noakhali,Chittagong,Bangladesh,8.20765092
Chatalpar,Nasirnagar,Brahamanbaria,Chittagong,Bangladesh,26.48504735
Chatari,Anowara,Chittagong,Chittagong,Bangladesh,13.30777927
Chatkhil Paurashava,Chatkhil,Noakhali,Chittagong,Bangladesh,16.03819166
Chatmohar Paurashava,Chatmohar,Pabna,Rajshahi,Bangladesh,3.62446818
Chatra,Pirganj,Rangpur,Rangpur,Bangladesh,34.75008047
Chatul,Boalmari,Faridpur,Dhaka,Bangladesh,29.49559312
Chauddagram,Chauddagram,Comilla,Chittagong,Bangladesh,2.762000687
Chauddagram Paurashava,Chauddagram,Comilla,Chittagong,Bangladesh,11.61381269
Chauddasata,Kishoreganj Sadar,Kishoreganj,Dhaka,Bangladesh,26.33050936
Chaufaldandi,Cox's Bazar Sadar,Cox's Bazar,Chittagong,Bangladesh,15.37226875
Chaugachha,Chaugachha,Jessore,Khulna,Bangladesh,16.45082149
Chaugachha Paurashava,Chaugachha,Jessore,Khulna,Bangladesh,12.12128597
Chauganga,Itna,Kishoreganj,Dhaka,Bangladesh,11.46054335
Chaugram,Singra,Natore,Rajshahi,Bangladesh,45.02713826
Chauhat,Dhamrai,Dhaka,Dhaka,Bangladesh,20.75049807
Chaukibari,Dhunat,Bogra,Rajshahi,Bangladesh,29.6511463
Chaulia,Magura Sadar,Magura,Khulna,Bangladesh,26.38630096
Chaumohani Paurashava,Begumganj,Noakhali,Chittagong,Bangladesh,10.82565504
Chehelgazi,Dinajpur Sadar,Dinajpur,Rangpur,Bangladesh,41.84900712
Chenchri Rampur,Kanthalia,Jhalokati,Barisal,Bangladesh,35.34351547
Chengi,Panchhari,Khagrachhari,Chittagong,Bangladesh,70.44227803
Chengmari,Mitha Pukur,Rangpur,Rangpur,Bangladesh,30.55580363
Cheora,Chauddagram,Comilla,Chittagong,Bangladesh,23.43962939
Cheragpur,Mahadebpur,Naogaon,Rajshahi,Bangladesh,41.48097721
Chhagalnaiya Paurashava,Chhagalnaiya,Feni,Chittagong,Bangladesh,23.21739646
Chhaikhola,Chatmohar,Pabna,Rajshahi,Bangladesh,26.3114675
Chhaliakandi,Muradnagar,Comilla,Chittagong,Bangladesh,11.16168548
Chhangachha,Sirajganj Sadar,Sirajganj,Rajshahi,Bangladesh,26.21202255
Chhanua,Banshkhali,Chittagong,Chittagong,Bangladesh,20.85466863
Chhaola,Pirgachha,Rangpur,Rangpur,Bangladesh,37.11678667
Chhaor,Porsha,Naogaon,Rajshahi,Bangladesh,44.06598883
Chhaparhati,Sundarganj,Gaibandha,Rangpur,Bangladesh,26.67573864
Chhatail,Bochaganj,Dinajpur,Rangpur,Bangladesh,39.26773707
Chhatak,Chhatak,Sunamganj,Sylhet,Bangladesh,14.03538738
Chhatak Paurashava,Chhatak,Sunamganj,Sylhet,Bangladesh,5.16316444
Chhatar Dighi,Singra,Natore,Rajshahi,Bangladesh,40.9879401
Chhatarpaia,Senbagh,Noakhali,Chittagong,Bangladesh,19.44293583
Chhatiain,Madhabpur,Habiganj,Sylhet,Bangladesh,20.20358764
Chhatian,Mirpur,Kushtia,Khulna,Bangladesh,25.45855149
Chhatiangram,Adamdighi,Bogra,Rajshahi,Bangladesh,28.31170185
Chhatir Char,Nikli,Kishoreganj,Dhaka,Bangladesh,5.677668131
Chhatni,Natore Sadar,Natore,Rajshahi,Bangladesh,35.43052258
Chhayani,Begumganj,Noakhali,Chittagong,Bangladesh,20.60992071
Chhaygaon,Bhedarganj,Shariatpur,Dhaka,Bangladesh,14.91095413
Chhaysuti,Kuliar Char,Kishoreganj,Dhaka,Bangladesh,20.66154568
Chhibatali,Hathazari,Chittagong,Chittagong,Bangladesh,4.597344596
Chhinai,Rajarhat,Kurigram,Rangpur,Bangladesh,24.76948438
Chhiram,Barhatta,Netrakona,Mymensingh,Bangladesh,28.74811478
Chhota Bagi,Amtali,Barguna,Barisal,Bangladesh,27.74851916
Chhota Baisdia,Galachipa,Patuakhali,Barisal,Bangladesh,69.93048245
Chhota Bhakla,Goalandaghat,Rajbari,Dhaka,Bangladesh,9.441055261
Chhota Bighai,Patuakhali Sadar,Patuakhali,Barisal,Bangladesh,29.77367702
Chhotamohes Khali,Maheshkhali,Cox's Bazar,Chittagong,Bangladesh,10.15142841
Chikajani,Dewanganj,Jamalpur,Mymensingh,Bangladesh,34.6656755
Chikandandi,Hathazari,Chittagong,Chittagong,Bangladesh,10.67374559
Chikandi,Shariatpur Sadar,Shariatpur,Dhaka,Bangladesh,15.04048194
Chikashi,Dhunat,Bogra,Rajshahi,Bangladesh,26.36949345
Chikdair,Raozan,Chittagong,Chittagong,Bangladesh,8.574092036
Chiknagul,Jaintiapur,Sylhet,Sylhet,Bangladesh,33.35614573
Chiknikandi,Galachipa,Patuakhali,Barisal,Bangladesh,24.14261431
Chila,Mongla,Bagerhat,Khulna,Bangladesh,29.6761413
Chilahati,Debiganj,Panchagarh,Rangpur,Bangladesh,48.72652233
Chilar Char,Madaripur Sadar,Madaripur,Dhaka,Bangladesh,22.59124885
Chilarang,Thakurgaon Sadar,Thakurgaon,Rangpur,Bangladesh,34.52527166
Chilmari,Daulatpur,Kushtia,Khulna,Bangladesh,55.90560489
Chilmari,Chilmari,Kurigram,Rangpur,Bangladesh,26.76019281
Chinadulli,Islampur,Jamalpur,Mymensingh,Bangladesh,24.18067976
Chingrakhali,Morrelganj,Bagerhat,Khulna,Bangladesh,22.36037375
Chinishpur,Narsingdi Sadar,Narsingdi,Dhaka,Bangladesh,6.934878093
Chira Para Parsaturia,Kawkhali,Pirojpur,Barisal,Bangladesh,16.03469151
Chirang,Kendua,Netrakona,Mymensingh,Bangladesh,20.88915793
Chiringa,Chakaria,Cox's Bazar,Chittagong,Bangladesh,48.25554935
Chitadda,Barura,Comilla,Chittagong,Bangladesh,13.25312564
Chitalia,Shariatpur Sadar,Shariatpur,Dhaka,Bangladesh,12.29513131
Chitalmari,Chitalmari,Bagerhat,Khulna,Bangladesh,52.89051717
Chithalia,Parshuram,Feni,Chittagong,Bangladesh,25.1461823
Chithla,Alamdanga,Chuadanga,Khulna,Bangladesh,27.42207731
Chithulia,Mirpur,Kushtia,Khulna,Bangladesh,32.25793032
Chitmaram,Kaptai,Rangamati,Chittagong,Bangladesh,78.55147603
Chitrakot,Serajdikhan,Munshiganj,Dhaka,Bangladesh,15.65617116
Chokhyong,Alikadam,Bandarban,Chittagong,Bangladesh,610.718753
Chopinagar,Shajahanpur,Bogra,Rajshahi,Bangladesh,16.67245
Chouara,Comilla Sadar Dakshin,Comilla,Chittagong,Bangladesh,11.03507657
Chowdala,Gomastapur,Nawabganj,Rajshahi,Bangladesh,18.66844381
Chowmohani,Madhabpur,Habiganj,Sylhet,Bangladesh,32.49966146
Chowra,Amtali,Barguna,Barisal,Bangladesh,32.34050421
