Union/Municipalities,Upzila,District,Division,Country,AREA_SQKM
Alinagar,Kalkini,Madaripur,Dhaka,Bangladesh,20.90294037
Alinagar,Gomastapur,Nawabganj,Rajshahi,Bangladesh,7.640754986
Alinagar,Kamalganj,Maulvibazar,Sylhet,Bangladesh,36.24923612
Alinagar,Beani Bazar,Sylhet,Sylhet,Bangladesh,23.51725274
Alipur,Dashmina,Patuakhali,Barisal,Bangladesh,35.659728
Alipur,Rajbari Sadar,Rajbari,Dhaka,Bangladesh,19.88074712
Alipur,Satkhira Sadar,Satkhira,Khulna,Bangladesh,32.46476438
Alipura,Roypura,Narsingdi,Dhaka,Bangladesh,9.485560869
Alir Tek,Narayanganj Sadar,Narayanganj,Dhaka,Bangladesh,9.345512593
Alirgaon,Gowainghat,Sylhet,Sylhet,Bangladesh,88.48153556
Alkara,Chauddagram,Comilla,Chittagong,Bangladesh,20.59417783
Alokbali,Narsingdi Sadar,Narsingdi,Dhaka,Bangladesh,23.26643895
Alokdia,Madhupur,Tangail,Dhaka,Bangladesh,31.06688817
Alokdia,Chuadanga Sadar,Chuadanga,Khulna,Bangladesh,18.97124899
Alokdihi,Chirirbandar,Dinajpur,Rangpur,Bangladesh,11.30487261
Alokjhari,Khansama,Dinajpur,Rangpur,Bangladesh,34.79356748
Alowa Khowa,Atwari,Panchagarh,Rangpur,Bangladesh,37.17256364
Alyerapur,Begumganj,Noakhali,Chittagong,Bangladesh,15.4488622
Amadi,Koyra,Khulna,Khulna,Bangladesh,41.75192129
Amair,Patnitala,Naogaon,Rajshahi,Bangladesh,37.37637232
Amalsar,Sreepur,Magura,Khulna,Bangladesh,28.9178635
Amanullah,Sandwip,Chittagong,Chittagong,Bangladesh,1.969786879
Amanullapur,Begumganj,Noakhali,Chittagong,Bangladesh,10.88080566
Amarkhana,Panchagarh Sadar,Panchagarh,Rangpur,Bangladesh,33.83909644
Amarpur,Chirirbandar,Dinajpur,Rangpur,Bangladesh,32.18575277
Ambaria,Khoksa,Kushtia,Khulna,Bangladesh,7.465682572
Ambaria,Mirpur,Kushtia,Khulna,Bangladesh,19.55260309
Ambarnagar,Sonaimuri,Noakhali,Chittagong,Bangladesh,11.50403951
Ambikapur,Faridpur Sadar,Faridpur,Dhaka,Bangladesh,19.62575015
Amchia,Boalkhali,Chittagong,Chittagong,Bangladesh,13.56168078
Amda,Meherpur Sadar,Meherpur,Khulna,Bangladesh,31.42037954
Amdai,Joypurhat Sadar,Joypurhat,Rajshahi,Bangladesh,28.31960768
Amdia,Narsingdi Sadar,Narsingdi,Dhaka,Bangladesh,17.89285584
Amgaon,Haripur,Thakurgaon,Rangpur,Bangladesh,33.76215995
Amgram,Rajoir,Madaripur,Dhaka,Bangladesh,39.52711763
Amilais,Satkania,Chittagong,Chittagong,Bangladesh,4.442191293
Amin Bazar,Savar,Dhaka,Dhaka,Bangladesh,7.883241786
Aminabad,Char Fasson,Bhola,Barisal,Bangladesh,18.78929564
Amirabad,Lohagara,Chittagong,Chittagong,Bangladesh,17.25506389
Amirabad,Sonagazi,Feni,Chittagong,Bangladesh,26.02856604
Amirabari,Trishal,Mymensingh,Mymensingh,Bangladesh,21.02702912
Amirganj,Roypura,Narsingdi,Dhaka,Bangladesh,15.00375809
Amirpur,Batiaghata,Khulna,Khulna,Bangladesh,19.08613347
Amisha Para,Sonaimuri,Noakhali,Chittagong,Bangladesh,20.3221526
Amjadhat,Fulgazi,Feni,Chittagong,Bangladesh,22.57739334
Amjankhore,Baliadangi,Thakurgaon,Rangpur,Bangladesh,37.07898414
Amjhupi,Meherpur Sadar,Meherpur,Khulna,Bangladesh,62.96880783
Amkhola,Galachipa,Patuakhali,Barisal,Bangladesh,46.16517551
Amla,Mirpur,Kushtia,Khulna,Bangladesh,27.5276934
Amlaba,Belabo,Narsingdi,Dhaka,Bangladesh,17.71735161
Amragachhia,Mirzaganj,Patuakhali,Barisal,Bangladesh,30.55540987
Amragachhia,Mathbaria,Pirojpur,Barisal,Bangladesh,33.37720938
Amrajuri,Kawkhali,Pirojpur,Barisal,Bangladesh,13.53386999
Amratali,Comilla Adarsha Sadar,Comilla,Chittagong,Bangladesh,20.49707537
Amrool,Shajahanpur,Bogra,Rajshahi,Bangladesh,24.66525354
Amta,Dhamrai,Dhaka,Dhaka,Bangladesh,10.36675628
Amtail,Haluaghat,Mymensingh,Mymensingh,Bangladesh,20.88518316
Amtail,Maulvi Bazar Sadar,Maulvibazar,Sylhet,Bangladesh,28.68415075
Amtala,Netrokona Sadar,Netrakona,Mymensingh,Bangladesh,25.09763169
Amtali,Amtali,Barguna,Barisal,Bangladesh,41.18899285
Amtali,Matiranga,Khagrachhari,Chittagong,Bangladesh,25.57065076
Amtali,Baghai Chhari,Rangamati,Chittagong,Bangladesh,9.333967382
Amtali,Kotali Para,Gopalganj,Dhaka,Bangladesh,17.13572676
